Class,Order,Family,Genus,Species,Common name,Female maturity (days),s,Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Maximum longevity (yrs),,Metabolic rate (W),Temperature (K),q1 - W,q2 - B,q3 - S,q1 - W,q2 - B,q3 - S,q4 - X
Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,Cooper's hawk,730,730,24,,4,1,,28,,526.64,20.3,,,,0.219138888,0.473276935,0.307584177,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Northern goshawk,365,730,33,,3,1,,,,1044.2,22,,,,0.248058239,0.450742711,0.30119905,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,nisus,Sparrowhawk,365,365,,,,,,,,237.5,20.2,0.9516,135,,0.184437996,0.519396357,0.296165647,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Sharp-shinned hawk,365,365,34,,4,1,,,,135,19.9,,,,0.1599593,0.549537767,0.290502932,,,,
Aves,Accipitriformes,Accipitridae,Aegypius,monachus,Eurasian black vulture,,,,,,,,,,9625,39,,,,0.338188748,0.447587042,0.21422421,,,,
Aves,Accipitriformes,Accipitridae,Aquila,adalberti,Spanish imperial eagle,,,,,,,,,,3000,44.5,,,,0.285733901,0.546350052,0.167916048,,,,
Aves,Accipitriformes,Accipitridae,Aquila,audax,Wedge-tailed eagle,,,,,,,,,,3466,40,,,,0.293305969,0.513845691,0.19284834,,,,
Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,1460,1460,40,,2,1,,110.6,,4800,48,4.9929,3000,,0.305347307,0.535478468,0.159174224,,,,
Aves,Accipitriformes,Accipitridae,Aquila,fasciata,Bonelli's eagle,,,,,,,,,,2000,20,,,,0.27756052,0.390796203,0.331643276,,,,
Aves,Accipitriformes,Accipitridae,Aquila,heliaca,Eastern imperical eagle,,,,,,,,,,3262,56,,,,0.286650995,0.593004391,0.120344614,,,,
Aves,Accipitriformes,Accipitridae,Aquila,nipalensis,Steppe eagle,,,,,,,,,,2745.5,41,,,,0.282840064,0.533211459,0.183948477,,,,
Aves,Accipitriformes,Accipitridae,Aquila,pomarina,Lesser spotted eagle,,,,,,,,,,1370,26.1,,,,0.25787625,0.473014755,0.269108996,,,,
Aves,Accipitriformes,Accipitridae,Aquila,rapax,Tawny eagle,,,,,,,,,,1996.1,40.3,,,,0.269131315,0.548249141,0.182619545,,,,
Aves,Accipitriformes,Accipitridae,Butastur,indicus,Gray-faced buzzard,,,,,,,,,,415,8.5,,,,0.219107905,0.291906561,0.488985533,,,,
Aves,Accipitriformes,Accipitridae,Buteo,buteo,Buzzard,730,730,,,,,,,,1012,28.8,,,,0.243483436,0.513084086,0.243432478,,,,
Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,Red-tailed hawk,730,730,31,,3,1,,57.6,,1362,30.7,,,,0.255687385,0.509815731,0.234496884,,,,
Aves,Accipitriformes,Accipitridae,Buteo,lagopus,Rough-legged hawk,730,730,29,,5,1,,41.62,,980.64,18.8,,,,0.247189053,0.419168219,0.333642729,,,,
Aves,Accipitriformes,Accipitridae,Buteo,lineatus,Red-shouldered hawk,365,365,33,,3.5,1,,35,,607,22.4,2.11,658,,0.224165154,0.486961343,0.288873503,,,,
Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged hawk,365,365,25,,2.5,1,,28,,454,18.3,,,,0.213895781,0.458786918,0.3273173,,,,
Aves,Accipitriformes,Accipitridae,Buteo,regalis,Ferruginous hawk,730,730,32,,3,1,,51.6,,1500,23.7,,,,0.262981995,0.445976434,0.291041571,,,,
Aves,Accipitriformes,Accipitridae,Buteo,solitarius,Hawaiian hawk,,,38,,1,,,35,,505,17,,,,0.219420269,0.435925157,0.344654574,,,,
Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,Swainson's hawk,730,730,31,,3,1,,39.4,,980.64,24.9,,,,0.24384236,0.482274493,0.273883147,,,,
Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common black hawk,730,730,38,,1.5,1,,,,837,13.5,,,,0.244219924,0.354191401,0.401588674,,,,
Aves,Accipitriformes,Accipitridae,Circaetus,gallicus,Short-toed eagle,1095,1095,,,,,,,,1699.5,17.3,,,,0.272181105,0.36788376,0.359935135,,,,
Aves,Accipitriformes,Accipitridae,Circus,aeruginosus,Swamp harrier,730,730,,,,,,,,711.5,20.1,,,,0.232388905,0.45321073,0.314400365,,,,
Aves,Accipitriformes,Accipitridae,Circus,cyaneus,Northern harrier,365,365,31,,4.4,1,,23.8,,392,17.1,,,,0.208294326,0.452264318,0.339441356,,,,
Aves,Accipitriformes,Accipitridae,Circus,macrourus,Pallid harrier,,,,,,,,,,388.5,13.5,,,,0.21071812,0.399710683,0.389571197,,,,
Aves,Accipitriformes,Accipitridae,Circus,pygargus,Montagu's harrier,730,730,,,,,,,,315.5,16.3,,,,0.199388656,0.454380022,0.346231322,,,,
Aves,Accipitriformes,Accipitridae,Elanus,caeruleus,Black-shouldered kite,,,,,,,,,,260.5,6,,,,0.202929871,0.241305179,0.555764949,,,,
Aves,Accipitriformes,Accipitridae,Elanus,leucurus,White-tailed kite,,,30,,4.1,1.5,,17.4,,280,6,,,,0.206080736,0.237024064,0.5568952,,,,
Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,Chilean eagle,,,,,,,,,,2447.5,42,5.1887,2860,,0.277537998,0.545437059,0.177024944,,,,
Aves,Accipitriformes,Accipitridae,Gypaetus,barbatus,Bearded vulture,,,,,,,,,,5070,40,,,,0.309907338,0.491289222,0.19880344,,,,
Aves,Accipitriformes,Accipitridae,Gypohierax,angolensis,Sea eagle,,,,,,,,,,1600,27.1,,,,0.264202456,0.472254295,0.263543249,,,,
Aves,Accipitriformes,Accipitridae,Gyps,africanus,White-backed vulture,,,,,,,,,,5433,19.7,,,,0.321360696,0.328134918,0.350504386,,,,
Aves,Accipitriformes,Accipitridae,Gyps,fulvus,Eurasian griffon,1460,1460,,,,,,,,7436,41.4,,,,0.326214788,0.476300922,0.19748429,,,,
Aves,Accipitriformes,Accipitridae,Haliaeetus,albicilla,White-tailed sea-eagle,1460,1460,41,,2,,,,,6696.5,42,,,,0.321471298,0.485744385,0.192784317,,,,
Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald eagle,1460,1460,35,,2,1,,,,3175,48,,,,0.287306896,0.55999018,0.152702924,,,,
Aves,Accipitriformes,Accipitridae,Harpia,harpyja,Harpy eagle,,,,,,,,,,4800,16.8,,,,0.317850139,0.299721225,0.382428636,,,,
Aves,Accipitriformes,Accipitridae,Hieraaetus,morphnoides,Little eagle,,,,,,,,,,791,10.3,,,,0.244974686,0.296787615,0.458237699,,,,
Aves,Accipitriformes,Accipitridae,Ictinia,mississippiensis,Mississippi kite,365,365,31,,2,1,,17,,266,11.2,,,,0.196408495,0.380231624,0.423359882,,,,
Aves,Accipitriformes,Accipitridae,Kaupifalco,monogrammicus,Lizard buzzard,,,,,,,,,,280.5,8.6,,,,0.201871167,0.317763619,0.480365214,,,,
Aves,Accipitriformes,Accipitridae,Lophoictinia,isura,Square-tailed kite,,,,,,,,,,585.5,17,,,,0.225876265,0.427153322,0.346970413,,,,
Aves,Accipitriformes,Accipitridae,Milvus,migrans,Black kite,1095,1095,,,,,,,,1000,24,,,,0.245134123,0.472847799,0.282018079,,,,
Aves,Accipitriformes,Accipitridae,Milvus,milvus,Red kite,1095,1095,,,,,,,,1080,38,,,,0.243020591,0.571480139,0.18549927,,,,
Aves,Accipitriformes,Accipitridae,Neophron,percnopterus,Egyptian vulture,,,,,,,,,,2082,37,,,,0.271987869,0.526564648,0.201447484,,,,
Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,Harris' hawk,365,365,34,,3,2,,,,994.26,25,,,,0.244396688,0.482356541,0.273246771,,,,
Aves,Accipitriformes,Accipitridae,Pernis,apivorus,Western honey-buzzard,1095,1095,,,,,,,,758,29,2.36428,652,,0.230786494,0.531777698,0.237435809,,,,
Aves,Accipitriformes,Accipitridae,Pithecophaga,jefferyi,Philippine eagle,1825,2555,63,,1,,,,,6500,41,,,,0.320458302,0.482099132,0.197442566,,,,
Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Snail kite,365,365,30,,3,2,,29.3,,352.5,17,,,,0.203728184,0.457246171,0.339025645,,,,
Aves,Accipitriformes,Accipitridae,Terathopius,ecaudatus,Bateleur,,,,,,,,,,2200,55,,,,0.269673059,0.612317679,0.118009262,,,,
Aves,Accipitriformes,Cathartidae,Cathartes,aura,Turkey vulture,4015,4015,39,,2,1,,60,,2200,20.8,,,,0.281253597,0.393951473,0.32479493,,,,
Aves,Accipitriformes,Cathartidae,Coragyps,atratus,Black vulture,2920,2920,35,,2,1,,70,,2270,25.5,,,,0.280194522,0.437844232,0.281961246,,,,
Aves,Accipitriformes,Cathartidae,Gymnogyps,californianus,California condor,2190,2190,57,,1,2,,185.3,,11175,45,,,,0.343001924,0.47086771,0.186130366,,,,
Aves,Accipitriformes,Cathartidae,Sarcoramphus,papa,King vulture,,,57,,,,,,,3405,40,,,,0.29253093,0.514898745,0.192570325,,,,
Aves,Accipitriformes,Cathartidae,Vultur,gryphus,Andean condor,2555,2555,56,,1,,,,,10500,79,,,,0.333579956,0.600946718,0.065473326,,,,
Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,Osprey,1095,1095,38,,3,1,,50.3,,1362,32,,,,0.255193461,0.519129326,0.225677213,,,,
Aves,Anseriformes,Anatidae,Aix,galericulata,Mandarin duck,,,29,,10.5,,,,,570,10.4,,,,0.230557581,0.318389718,0.451052701,,,,
Aves,Anseriformes,Anatidae,Aix,sponsa,Wood duck,365,365,31,,12,2,,23.7,,452.8,22.5,2.247,448,,0.21131959,0.505342986,0.283337424,,,,
Aves,Anseriformes,Anatidae,Alopochen,aegyptiaca,Egyptian goose,730,730,29,,7,,,,,1900,25.5,,,,0.272428268,0.448396329,0.279175403,,,,
Aves,Anseriformes,Anatidae,Anas,acuta,Northern pintail,240,240,22,,7.5,1,,26,,721,27.4,,,,0.229278018,0.522000719,0.248721263,,,,
Aves,Anseriformes,Anatidae,Anas,americana,American wigeon,365,365,23,,9,1,,24,,793.8,21.3,,,,0.236475936,0.459741438,0.303782626,,,,
Aves,Anseriformes,Anatidae,Anas,clypeata,Northern shoveler,240,240,23,,11,1,,23,,613,22.6,3.9209,554,,0.224488627,0.488374179,0.287137194,,,,
Aves,Anseriformes,Anatidae,Anas,crecca,Green-winged teal,180,180,22,,10,1,,15,,343.8,27.1,1.68388,250,,0.197083746,0.563449249,0.239467005,,,,
Aves,Anseriformes,Anatidae,Anas,cyanoptera,Cinnamon teal,365,365,23,,10,1.5,,18.2,,411,12.9,,,,0.213716983,0.386162317,0.4001207,,,,
Aves,Anseriformes,Anatidae,Anas,discors,Blue-winged teal,240,240,24,,10,1,,18.3,,420,23.2,,,,0.207672513,0.516682664,0.275644823,,,,
Aves,Anseriformes,Anatidae,Anas,fulvigula,Mottled duck,365,365,26,,10,1,,32.9,,950,20,,,,0.245066586,0.434946081,0.319987333,,,,
Aves,Anseriformes,Anatidae,Anas,laysanensis,Laysan teal,365,365,28,,3.8,1,,26,,500,12,,,,0.223134099,0.358296474,0.418569428,,,,
Aves,Anseriformes,Anatidae,Anas,penelope,Eurasian wigeon,365,365,24,,8,,,,,660,35.2,2.8538,723,,0.222436135,0.5834985,0.194065365,,,,
Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard,365,365,26,,9,1,,32.8,,1048.1,29.1,4.068,1020,,0.24488993,0.513332539,0.241777531,,,,
Aves,Anseriformes,Anatidae,Anas,querquedula,Garganey,365,365,,,,,,,,326,14.7,,,,0.20204812,0.42923651,0.368715371,,,,
Aves,Anseriformes,Anatidae,Anas,rubripes,American black duck,365,365,28,,9,1,,32,,998.7,26.6,3.6076,904,,0.243852365,0.496023501,0.260124134,,,,
Aves,Anseriformes,Anatidae,Anas,strepera,Gadwall,240,240,26,,10,1,,35.6,,791,28,,,,0.233064488,0.521369978,0.245565533,,,,
Aves,Anseriformes,Anatidae,Anser,albifrons,Greater white-fronted goose,1095,1095,27,,5,1,,90.3,,2681,47,,,,0.280175843,0.565291961,0.154532195,,,,
Aves,Anseriformes,Anatidae,Anser,anser,Greylag goose,1095,1095,,,,,,,,3308.5,31,,,,0.294311659,0.459362963,0.246325378,,,,
Aves,Anseriformes,Anatidae,Anser,brachyrhynchus,Pink-footed goose,1095,1095,,,,,,,,2645,40.9,,,,0.28124139,0.534874713,0.183883896,,,,
Aves,Anseriformes,Anatidae,Anser,fabalis,Bean goose,1095,1095,28,,4,,,,,3348,25.6,,,,0.297109106,0.415677801,0.287213093,,,,
Aves,Anseriformes,Anatidae,Aythya,affinis,Lesser scaup,365,365,24,,10,1,,30.8,,787,18.3,,,,0.237908342,0.426160779,0.335930879,,,,
Aves,Anseriformes,Anatidae,Aythya,americana,Redhead,365,365,26,,13,1,,37.6,,1077.3,22.6,,,,0.249099927,0.454934526,0.295965547,,,,
Aves,Anseriformes,Anatidae,Aythya,collaris,Ring-necked duck,365,365,27,,9,1,,29.3,,737,20.4,,,,0.233749447,0.45444942,0.311801133,,,,
Aves,Anseriformes,Anatidae,Aythya,ferina,Common pochard,365,365,,,,,,,,823,23.2,,,,0.237035126,0.476787348,0.286177526,,,,
Aves,Anseriformes,Anatidae,Aythya,fuligula,Tufted duck,365,365,,,,,,,,701.5,45.2,,,,0.222119909,0.636035591,0.1418445,,,,
Aves,Anseriformes,Anatidae,Aythya,marila,Greater scaup,365,365,26,,9,1,,46.3,,928.5,22.1,,,,0.242878289,0.458725835,0.298395875,,,,
Aves,Anseriformes,Anatidae,Aythya,valisineria,Canvasback,240,240,24,,9,1,,44.7,,1208.8,29.5,,,,0.250953805,0.507938405,0.241107791,,,,
Aves,Anseriformes,Anatidae,Branta,bernicla,Brent goose,730,730,24,,4,1,,43.6,,1163.2,28.8,,,,0.249561368,0.50482593,0.245612701,,,,
Aves,Anseriformes,Anatidae,Branta,canadensis,Canada goose,730,730,26,,5,1,,85.5,,3200,42,,,,0.28923953,0.529538053,0.181222416,,,,
Aves,Anseriformes,Anatidae,Branta,hutchinsii,Cackling goose,,,,,,,,,,1940.1,18.3,,,,0.277291196,0.372650849,0.350057955,,,,
Aves,Anseriformes,Anatidae,Branta,leucopsis,Barnacle goose,730,730,,,,,,,,1687,28.2,,,,0.266039723,0.478049342,0.255910935,,,,
Aves,Anseriformes,Anatidae,Branta,sandvicensis,Hawaiian goose,912,730,30,,4,1,,90.8,,2150,42,,,,0.271881146,0.553123088,0.174995766,,,,
Aves,Anseriformes,Anatidae,Bucephala,albeola,Bufflehead,730,730,30,,8,1,,23.8,,400,18.7,,,,0.208110906,0.47115274,0.320736355,,,,
Aves,Anseriformes,Anatidae,Bucephala,clangula,Common goldeneye,730,730,30,,10,1,,38.1,,895.86,18.4,,,,0.2434984,0.419701132,0.336800468,,,,
Aves,Anseriformes,Anatidae,Bucephala,islandica,Barrow's goldeneye,730,730,29,,11,1,,,,957.15,18,,,,0.246648659,0.410840716,0.342510625,,,,
Aves,Anseriformes,Anatidae,Cereopsis,novaehollandiae,Cape barren goose,,,,,,,,,,3980,28.1,,,,0.303547106,0.426347359,0.270105535,,,,
Aves,Anseriformes,Anatidae,Chen,caerulescens,Snow goose or blue goose,730,730,24,,4,1,,95,,2806.65,27.5,,,,0.288558056,0.442215411,0.269226533,,,,
Aves,Anseriformes,Anatidae,Chen,canagica,Emperor goose,365,365,24,,4.9,1,,81.8,,2148,12,,,,0.286760274,0.271846867,0.441392859,,,,
Aves,Anseriformes,Anatidae,Chen,rossii,Ross's goose,570,570,21,,4,1,,65,,1715,22.5,,,,0.269447477,0.426363966,0.304188557,,,,
Aves,Anseriformes,Anatidae,Clangula,hyemalis,Oldsquaw,730,730,24,,7,1,,25,,872,22.7,,,,0.239818953,0.468464725,0.291716323,,,,
Aves,Anseriformes,Anatidae,Cygnus,buccinator,Trumpeter swan,730,730,35,,5,1,,220,,13000,32.5,,,,0.353480298,0.388816758,0.257702944,,,,
Aves,Anseriformes,Anatidae,Cygnus,columbianus,Tundra swan,730,730,31,,4,1,,179,,6350,24.1,,,,0.32576744,0.364156871,0.310075689,,,,
Aves,Anseriformes,Anatidae,Cygnus,cygnus,Whooper swan,1460,1460,,,,,,,,9350,26.5,,,,0.3415255,0.362529017,0.295945484,,,,
Aves,Anseriformes,Anatidae,Cygnus,olor,Mute swan,1095,1095,36,,5.3,1,,225,,8300,70,,,,0.324757743,0.587728581,0.087513676,,,,
Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Black-bellied whistling duck,365,365,27,,14,1,,30.8,,828,8.2,,,,0.249685576,0.242872562,0.507441862,,,,
Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,Fulvous whistling duck,365,365,25,,13,1,,27,,737.1,11.2,,,,0.240896543,0.319785207,0.43931825,,,,
Aves,Anseriformes,Anatidae,Dendrocygna,viduata,White-faced whistling duck,,,27,,8,,,,,610,12,,,,0.2318137,0.3465034,0.421682899,,,,
Aves,Anseriformes,Anatidae,Histrionicus,histrionicus,Harlequin duck,365,365,28,,6,1,,32.9,,561.25,14.6,,,,0.225842456,0.39548443,0.378673114,,,,
Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Hooded merganser,730,730,31,,11,1,,31,,634.375,15.7,,,,0.230323197,0.404533473,0.365143329,,,,
Aves,Anseriformes,Anatidae,Melanitta,fusca,White-winged scoter,730,730,28,,11,1,,54.5,,1360.8,21.4,,,,0.259946705,0.428827492,0.311225804,,,,
Aves,Anseriformes,Anatidae,Melanitta,nigra,Black scoter,730,730,29,,9,1,,43.2,,1052.2,16.8,,,,0.251602925,0.389732066,0.358665008,,,,
Aves,Anseriformes,Anatidae,Melanitta,perspicillata,Surf scoter,730,730,,,,,,,,1097.5,9.5,,,,0.260232233,0.25920847,0.480559297,,,,
Aves,Anseriformes,Anatidae,Mergellus,albellus,Smew,,,,,,,,,,610,10,,,,0.233985055,0.305559676,0.460455269,,,,
Aves,Anseriformes,Anatidae,Mergus,merganser,Common merganser,730,730,30,,10,1,,46.2,,1445,14.8,,,,0.266959011,0.342454144,0.390586845,,,,
Aves,Anseriformes,Anatidae,Mergus,serrator,Red-breasted merganser,730,730,32,,10,1,,,,1020.6,21.3,,,,0.247445509,0.444836954,0.307717537,,,,
Aves,Anseriformes,Anatidae,Netta,rufina,Red-crested pochard,365,365,,,,,,,,1118,8.8,,,,0.261951572,0.240922411,0.497126017,,,,
Aves,Anseriformes,Anatidae,Oxyura,australis,Australian blue-billed duck,,,,,,,,,,798,16,,,,0.240113792,0.395175236,0.364710972,,,,
Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Ruddy duck,365,365,23,,8,1,,43,,542,13.6,,,,0.225164092,0.381620697,0.393215211,,,,
Aves,Anseriformes,Anatidae,Plectropterus,gambensis,Spur-winged goose,,,,,,,,,,3869,11.3,,,,0.313161605,0.223450189,0.463388206,,,,
Aves,Anseriformes,Anatidae,Polysticta,stelleri,Stellar's eider,730,730,26,,8,1,,,,907.2,23,,,,0.241389926,0.469066202,0.289543872,,,,
Aves,Anseriformes,Anatidae,Somateria,fischeri,Spectacled eider,730,730,,,4.7,,,,,1558,18,,,,0.267914272,0.381946886,0.350138842,,,,
Aves,Anseriformes,Anatidae,Somateria,mollissima,Common eider,730,730,28,,4,1,,76.4,,2130,37.8,,,,0.272727998,0.530016675,0.197255326,,,,
Aves,Anseriformes,Anatidae,Somateria,spectabilis,King eider,730,730,23,,5,1,,,,1617,18.9,,,,0.268955617,0.390699245,0.340345138,,,,
Aves,Anseriformes,Anatidae,Tadorna,tadorna,Common shelduck,730,730,,,,,,,,1152,24.8,,,,0.250919899,0.471819578,0.277260523,,,,
Aves,Apodiformes,Apodidae,Aeronautes,saxatalis,White-throated swift,,,24,,4,1,,,,31,10,,,,0.103934684,0.482260592,0.413804724,,,,
